,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
59,-0.1,-1,-1,1697637810,False,1,af5daed4,2023-10-18_14-03-30,1.3977882862091064,1.3977882862091064,13265,ff5996df3739,172.17.0.2,1.3977882862091064,1,,64,8,19,113,265,0.00047289752391748064,3.887104181661149e-06,af5daed4
60,-0.1,-1,-1,1697637844,False,1,dc3cc799,2023-10-18_14-04-04,1.559553861618042,1.559553861618042,13265,ff5996df3739,172.17.0.2,1.559553861618042,1,,128,6,4,152,117,0.0006466396831945946,1.3655197440477044e-06,dc3cc799
61,-0.1,-1,-1,1697637846,False,1,532a7373,2023-10-18_14-04-06,1.4772610664367676,1.4772610664367676,13265,ff5996df3739,172.17.0.2,1.4772610664367676,1,,128,5,2,286,159,0.0007297356563544899,2.888465820977044e-06,532a7373
62,-0.1,-1,-1,1697637847,False,1,39d1cb65,2023-10-18_14-04-07,1.440629482269287,1.440629482269287,13265,ff5996df3739,172.17.0.2,1.440629482269287,1,,128,8,14,60,358,2.196701904644495e-05,5.1399519807417245e-06,39d1cb65
63,-0.1,-1,-1,1697637855,False,1,b1340907,2023-10-18_14-04-15,1.51224684715271,1.51224684715271,13265,ff5996df3739,172.17.0.2,1.51224684715271,1,,128,7,18,40,232,0.0001044315043866591,4.971907497165502e-06,b1340907
64,-0.1,-1,-1,1697637857,False,1,1ebe7826,2023-10-18_14-04-17,1.655268907546997,1.655268907546997,13265,ff5996df3739,172.17.0.2,1.655268907546997,1,,32,3,10,62,205,6.979265543332046e-05,8.099175832644909e-07,1ebe7826
65,0.6138095238095239,-1,-1,1697638101,False,1,f780890d,2023-10-18_14-08-21,244.66665506362915,244.66665506362915,13265,ff5996df3739,172.17.0.2,244.66665506362915,1,,32,2,10,58,248,0.00017347553013909164,2.5426137034213674e-06,f780890d
66,-0.1,-1,-1,1697637867,False,1,69fcf7a7,2023-10-18_14-04-27,2.124630928039551,2.124630928039551,14063,ff5996df3739,172.17.0.2,2.124630928039551,1,,32,3,12,50,191,3.388251917979467e-05,1.8648565880326152e-06,69fcf7a7
67,-0.1,-1,-1,1697637868,False,1,9088a646,2023-10-18_14-04-28,1.495772361755371,1.495772361755371,14063,ff5996df3739,172.17.0.2,1.495772361755371,1,,128,4,12,391,222,5.744823542675782e-05,3.876160609342928e-06,9088a646
68,-0.1,-1,-1,1697637870,False,1,87ca8531,2023-10-18_14-04-30,1.4671854972839355,1.4671854972839355,14063,ff5996df3739,172.17.0.2,1.4671854972839355,1,,32,5,11,36,281,4.526206380590133e-05,2.0740463350541517e-06,87ca8531
