,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
93,-0.1,-1,-1,1697546109,False,1,b49f9e47,2023-10-17_12-35-09,0.4545607566833496,0.4545607566833496,56850,1105bb7c0067,172.17.0.2,0.4545607566833496,1,,64,5,9,109,122,2.3421940872881028e-05,3.6043573955366567e-06,b49f9e47
94,-0.1,-1,-1,1697546109,False,1,21fc4ae1,2023-10-17_12-35-09,0.40526413917541504,0.40526413917541504,56850,1105bb7c0067,172.17.0.2,0.40526413917541504,1,,64,7,11,105,215,0.0009679348172174711,9.776777072691607e-06,21fc4ae1
95,-0.1,-1,-1,1697546109,False,1,941dde77,2023-10-17_12-35-09,0.3696269989013672,0.3696269989013672,56850,1105bb7c0067,172.17.0.2,0.3696269989013672,1,,64,6,11,86,268,0.00022371185458091702,9.913802585549913e-06,941dde77
96,0.6009389671361502,-1,-1,1697546333,False,1,91ee5a80,2023-10-17_12-38-53,223.7640814781189,223.7640814781189,56850,1105bb7c0067,172.17.0.2,223.7640814781189,1,,64,2,17,185,41,0.00020229246381404882,7.936694644745542e-06,91ee5a80
97,-0.1,-1,-1,1697546123,False,1,0b89b009,2023-10-17_12-35-23,1.2374088764190674,1.2374088764190674,57003,1105bb7c0067,172.17.0.2,1.2374088764190674,1,,64,3,15,146,134,8.812707115100118e-05,7.201618709726789e-06,0b89b009
98,-0.1,-1,-1,1697546123,False,1,d9489137,2023-10-17_12-35-23,0.3709752559661865,0.3709752559661865,57003,1105bb7c0067,172.17.0.2,0.3709752559661865,1,,128,3,14,56,27,0.0001184866327440059,8.113170769561352e-06,d9489137
99,0.5053990610328638,-1,-1,1697546333,False,1,701233db,2023-10-17_12-38-53,207.07519721984863,207.07519721984863,57003,1105bb7c0067,172.17.0.2,207.07519721984863,1,,128,2,14,26,140,0.0005369138756406608,8.506387093596144e-06,701233db
100,-0.1,-1,-1,1697546140,False,1,00c4b063,2023-10-17_12-35-40,1.2678914070129395,1.2678914070129395,57096,1105bb7c0067,172.17.0.2,1.2678914070129395,1,,64,4,3,170,72,0.0009099327923822002,7.66901866325345e-06,00c4b063
101,-0.1,-1,-1,1697546142,False,1,4ae83e07,2023-10-17_12-35-42,0.4674241542816162,0.4674241542816162,57096,1105bb7c0067,172.17.0.2,0.4674241542816162,1,,32,8,16,41,152,0.0006430754328397924,2.534612843461391e-07,4ae83e07
102,-0.1,-1,-1,1697546142,False,1,bd8e4116,2023-10-17_12-35-42,0.4587833881378174,0.4587833881378174,57096,1105bb7c0067,172.17.0.2,0.4587833881378174,1,,32,8,2,49,178,0.0004747689674775673,9.322533416820932e-06,bd8e4116
